"word","freq"
"deforestation",1
"orangutans",0.612016786377209
"palmoilkills",0.547373093374223
"indonesia",0.507908966185134
"killerpalm",0.378722459849891
"sustainable",0.365063352433218
"malaysia",0.345311112904527
"rspo",0.320111371156485
"orangutan",0.284783310467275
"saveorangutans",0.281171818255185
"choosesustainable",0.277338390767493
"palmoilfree",0.248224517795174
"deforestationfree",0.224336211766605
"rainforest",0.223892341215398
"environment",0.211040271164555
"sustainability",0.210939391493826
"dropdirtypalmoil",0.177084173997256
"conflictpalmoil",0.173734968929061
"nodeforestation",0.163304010975708
"rainforests",0.163021547897668
"palmoilalarmcall",0.148373819707852
"climatechange",0.14629569849084
"news",0.145529012993302
"climate",0.143289484303123
"elephants",0.142058752320232
"boycott4wildlife",0.137902509886208
"boycott",0.137438463400855
"wildlife",0.136570898232588
"win",0.134835767896054
"humanrights",0.125938180937777
"retweet",0.118190622225809
"boycottpalmoil",0.116253732547817
"follow",0.11552739891857
"vegan",0.113166814623517
"notinmytank",0.111875554838189
"food",0.110180776369946
"ecocide",0.108950044387055
"westpapua",0.10868775724316
"forests",0.108344766362683
"worldorangutanday",0.106569284157857
"india",0.103785005245743
"commodities",0.103099023484787
"biofuels",0.102856912275038
"covid19",0.101767411831168
"malaysianpalmoil",0.100637559519006
"livefornow",0.0954725203776935
"africa",0.0926478895972884
"sustainablepalmoil",0.0890969251876362
"ferrero",0.0887942861754499
"peopleoverprofit",0.0887337583730127
"mcdeforestation",0.0885118230974094
"health",0.0835687192317004
"icelandadvert",0.0824388669195384
"oreo",0.0820958760390606
"repsa",0.0781615688806392
"sawit",0.0723307239125171
"nutella",0.0718465014930191
"cop26",0.0701718989589218
"childabuse",0.0684165926882415
"extinction",0.0679928980711807
"pancakeday",0.0666411104834154
"cpo",0.0655314341053991
"saynotopalmoil",0.0644419336615285
"biodiversity",0.064159470583488
"nopalmoil",0.0634734888225325
"forest",0.0633322572835122
"business",0.0627875070615769
"greenwashing",0.0626059236542652
"dt",0.0621822290372044
"rt",0.0609514970543136
"borneo",0.0605076265031071
"eu",0.0604672746348156
"conservation",0.0587523202324268
"oilpalm",0.0586917924299895
"biodiesel",0.0577031716568477
"palmoilhumanrights",0.0564724396739569
"care2",0.0549794205471713
"redape",0.0549794205471713
"tigers",0.05427326285207
"palmoiljustice",0.0542530869179243
"tastethedestruction",0.0526995399887015
"green",0.0524776047130982
"csr",0.0522960213057865
"animals",0.0511459930594787
"nestle",0.0511258171253329
"nachorainforest",0.0503994834960859
"biofuel",0.0503389556936486
"together4forests",0.0500564926156081
"internationalorangutanday",0.0493301589863611
"indigenous",0.0492898071180696
"korindo",0.048442417883948
"malaysian",0.0480994270034703
"banpalmoil",0.0468686950205794
"protectparadise",0.0462835929303527
"liberia",0.0458397223791462
"halloween",0.0445282866596723
"wwf",0.0439633605035913
"globaltigerday",0.0437817770962796
"sarawak",0.0437817770962796
"fgv",0.0432168509401985
"indomieinbbn",0.0430352675328868
"nigeria",0.042772980388992
"animation",0.0425712210475345
"businessnews",0.0425712210475345
"oatt",0.042288757969494
"rt16",0.0414010168670809
"forcedlabour",0.0408159147768542
"stopframeanimation",0.0400492292793156
"kashmir",0.0398474699378581
"supplychain",0.0394439512549431
"cop21",0.0394035993866516
"goodbadpalmoil",0.0393228956500686
"cameroon",0.0385763860866758
"animalrights",0.0384956823500928
"wilmar",0.0382737470744896
"agriculture",0.037587765313534
"worldnutelladay",0.036861431684287
"nopalmoilchristmas",0.0364175611330805
"lovemypalmoil",0.0362359777257687
"palmoilscorecard",0.0351464772818982
"easter",0.0351263013477524
"petition",0.0348438382697119
"kiva",0.0346219029941086
"inyourpalm",0.0345210233233799
"asia",0.0342990880477766
"superfood",0.0341175046404649
"landgrabbing",0.0340166249697361
"exploitation",0.0338753934307158
"derivatives",0.0338148656282786
"chocolate",0.0337139859575498
"kitkat",0.0332902913404891
"natureemergency",0.0329876523283028
"norainforestinmytank",0.0323823743039303
"orangutanday",0.03224114276491
"eco",0.0317972722137035
"indonesian",0.0316560406746832
"edibleoil",0.0316358647405375
"bbnaija",0.0313937535307885
"nature",0.0311516423210395
"nsmqfinals",0.031111290452748
"greenpeace",0.0306270680332499
"eastereggs",0.0304858364942297
"huiledepalme",0.0303849568235009
"stopioi",0.0302639012186264
"anipals",0.0301630215478977
"crude",0.0299612622064402
"climatecrisis",0.0296182713259624
"mpoc",0.0295173916552336
"orangutanfriendly",0.0292752804454846
"environmental",0.0288314098942781
"haze",0.0286901783552578
"sumatra",0.0285892986845291
"amazon",0.0274392704382213
"stopthefires",0.0273585667016383
"iceland",0.0271568073601808
"nodeath4orangutans",0.0270962795577435
"endangered",0.0267936405455573
"soap",0.0267734646114115
"pepsico",0.0267532886772658
"china",0.0263901218626422
"unilever",0.0263699459284965
"greenpalm",0.0260269550480187
"corruption",0.0259058994431442
"environmentdefenders",0.0248365749334194
"papua",0.0244935840529416
"makupalmoil",0.0244128803163586
"mpob",0.0243725284480671
"climateaction",0.0243120006456299
"nowreading",0.0242514728431926
"cancer",0.0241909450407554
"pakistan",0.0241102413041724
"norway",0.0240698894358809
"auspol",0.0238883060285691
"organic",0.0234847873456541
"felda",0.0231417964651763
"unga",0.0230207408603018
"goodfat",0.0228593333871358
"eurt2018",0.0224154628359293
"singapore",0.0223751109676378
"soy",0.0223751109676378
"industry",0.022274231296909
"savetheorangutans",0.022274231296909
"animatecafebkk",0.0221733516261803
"animetrap",0.0221733516261803
"stopframe",0.0221733516261803
"nsmq2021",0.022112823823743
"vegoils",0.0220926478895973
"dyk",0.0216487773383908
"govegan",0.0216487773383908
"congo",0.0212654345896215
"buttergate",0.02122508272133
"workers",0.0208619159067065
"handmade",0.020821564038415
"scorecard",0.0208013881042692
"pepsifire",0.0207812121701235
"earthday",0.0207005084335405
"ag",0.0206803324993947
"handmadesoap",0.0206399806311032
"greatapes",0.0205391009603745
"film",0.0203575175530627
"globalwarming",0.020337341618917
"elephant",0.0201961100798967
"guatemala",0.0200347026067307
"landrights",0.0200347026067307
"sevenworldsoneplanet",0.0199338229360019
"mayday",0.0199136470018562
"movie",0.0198934710677104
"animation_video",0.0196917117262529
"animationartist",0.0196917117262529
"animations",0.0196917117262529
"uk",0.0196715357921072
"orientalpacific",0.0195908320555242
"didyouknow",0.0195706561213784
"giveaway",0.0194294245823582
"energy",0.0191469615043177
"drc",0.0189048502945686
"christmas",0.0188846743604229
"crudepalmoil",0.0187232668872569
"dkl",0.0187232668872569
"til_now",0.0186022112823824
"sindhgovt",0.0185013316116536
"jakpost",0.0184004519409249
"agro",0.0183197482043419
"palmolie",0.0181381647970301
"palm_oil",0.0180574610604471
"trading",0.0180574610604471
"sawitbaik",0.0180372851263013
"infographic",0.0178153498506981
"peru",0.0176135905092406
"notopalmoil",0.0175732386409491
"palmoilhealth",0.0173109514970543
"traderjoes",0.0173109514970543
"bs",0.0171898958921798
"european",0.0170688402873053
"delicious",0.0170284884190138
"drones",0.016846905011702
"rangtan",0.0167863772092648
"bluetherapy",0.0167056734726818
"soapmaking",0.0165644419336615
"cspo",0.0163828585263498
"esg",0.0163425066580583
"cosmetics",0.0163223307239125
"tiger",0.0162214510531838
"fcpo",0.0161810991848923
"eatwell",0.0161003954483093
"changepenang",0.0158986361068517
"colombia",0.0158582842385602
"icelandchristmasadvert",0.0158381083044145
"cocoa",0.0155959970946655
"bjwtpretenders",0.0155152933580825
"dolphinangels",0.0154144136873537
"poig",0.015394237753208
"fairtrade",0.0153740618190622
"diesel",0.0153538858849165
"lauric",0.0153337099507707
"redpalmoil",0.0153337099507707
"landgrabs",0.015313534016625
"soft",0.0151117746751675
"zerodeforestation",0.0147687837946897
"brazil",0.0147486078605439
"skincare",0.0147284319263982
"palmoiltv",0.0146275522556694
"thailand",0.0146073763215237
"chester",0.0145468485190864
"research",0.0145266725849407
"savetheplanet",0.0144257929142119
"childlabor",0.0142038576386087
"hsbcexposed",0.0141231539020257
"ttip",0.0141231539020257
"science",0.0140828020337342
"godiswatchingyou",0.0140424501654427
"voteerica",0.0140424501654427
"nestlé",0.0140222742312969
"savetripa",0.0139819223630054
"beforetheflood",0.0138205148898394
"transparency",0.0135582277459446
"honduras",0.0134169962069244
"agribusiness",0.0133161165361956
"mspo",0.0132959406020499
"indonesiastone",0.0132757646679041
"ai",0.0132555887337584
"payusviabvn",0.0132354127996126
